alias_id,source_scope,raw_chain_name,chain_network_id,namespace_id,address_codec_id,address_type,asset_hint,token_standard_hint,status,evidence_ref,source_id,approved_by,approved_at,approval_notes
19,cex_por_workbook:MEXC,Solana,8,10,20,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Solana&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
20,cex_por_workbook:MEXC,Sonic,28,26,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Sonic&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
21,cex_por_workbook:MEXC,Starknet,48,46,95,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Starknet&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
22,cex_por_workbook:MEXC,SUI,29,27,30,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=SUI&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
23,cex_por_workbook:MEXC,Ton,31,29,50,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Ton&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
24,cex_por_workbook:MEXC,Tron,9,11,21,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Tron&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
25,cex_por_workbook:MEXC,Unichain,72,75,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Unichain&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
26,cex_por_workbook:MEXC,XDC,74,77,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=XDC&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
27,cex_por_workbook:MEXC,ZKSync Lite,112,115,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=ZKSync%20Lite&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
28,cex_por_workbook:Bybit,Aptos,30,28,31,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Aptos&rows=5,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
29,cex_por_workbook:Bybit,Arbitrum,5,7,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Arbitrum&rows=15,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
30,cex_por_workbook:Bybit,Avalanche-C,14,12,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Avalanche-C&rows=15,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
31,cex_por_workbook:Bybit,Avalanche-X,83,86,102,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Avalanche-X&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
32,cex_por_workbook:Bybit,Base,4,6,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Base&rows=8,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
33,cex_por_workbook:Bybit,Bera,27,25,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Bera&rows=3,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
34,cex_por_workbook:Bybit,Bitcoin,1,47,13,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Bitcoin&rows=23,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
35,cex_por_workbook:Bybit,BSC,7,9,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=BSC&rows=16,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
36,cex_por_workbook:Bybit,Celo,23,21,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Celo&rows=4,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
37,cex_por_workbook:Bybit,Codex,78,81,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Codex&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
38,cex_por_workbook:Bybit,Corn,79,82,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Corn&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
39,cex_por_workbook:Bybit,Cosmos,32,30,40,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Cosmos&rows=6,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
40,cex_por_workbook:Bybit,Dogecoin,12,50,97,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Dogecoin&rows=7,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
41,cex_por_workbook:Bybit,DYDX,38,36,40,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=DYDX&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
42,cex_por_workbook:Bybit,Ethereum,2,4,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Ethereum&rows=113,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
43,cex_por_workbook:Bybit,Fantom,16,14,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Fantom&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
44,cex_por_workbook:Bybit,HyperEVM,81,84,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=HyperEVM&rows=4,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
45,cex_por_workbook:Bybit,Kaia,26,24,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Kaia&rows=4,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
46,cex_por_workbook:Bybit,Kava EVM,61,64,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Kava%20EVM&rows=3,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
47,cex_por_workbook:Bybit,Linea,19,17,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Linea&rows=5,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
48,cex_por_workbook:Bybit,Litecoin,11,49,97,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Litecoin&rows=4,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
49,cex_por_workbook:Bybit,Manta,63,66,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Manta&rows=3,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
50,cex_por_workbook:Bybit,Mantle,21,19,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Mantle&rows=22,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
51,cex_por_workbook:Bybit,Monad,82,85,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Monad&rows=3,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
52,cex_por_workbook:Bybit,Optimism,6,8,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Optimism&rows=15,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
53,cex_por_workbook:Bybit,Plasma,77,80,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Plasma&rows=3,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
54,cex_por_workbook:Bybit,Polkadot AH,84,87,80,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Polkadot%20AH&rows=5,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
55,cex_por_workbook:Bybit,Polygon,3,5,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Polygon&rows=12,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
56,cex_por_workbook:Bybit,Ripple,43,41,90,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Ripple&rows=11,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
57,cex_por_workbook:Bybit,Scroll,20,18,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Scroll&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
58,cex_por_workbook:Bybit,Sei EVM,68,71,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Sei%20EVM&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
59,cex_por_workbook:Bybit,Solana,8,10,20,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Solana&rows=37,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
60,cex_por_workbook:Bybit,Sonic,28,26,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Sonic&rows=9,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
